+++ nxos3 with via 'cli': executing command 'show feature' +++
show feature
Feature Name          Instance  State   
poe                    1          disabled
private-vlan           1          disabled
privilege              1          disabled
ptp                    1          disabled
restconf               1          disabled
rip                    1          disabled
rip                    2          disabled
rip                    3          disabled
rip                    4          disabled
rise                   1          disabled
scheduler              1          disabled
scpServer              1          enabled 
segment-routing        1          disabled
sflow                  1          disabled
sftpServer             1          disabled
sla_responder          1          disabled
sla_sender             1          disabled
sla_twamp              1          disabled
smart-channel          1          disabled
srte                   1          disabled
srv6                   1          disabled
sshServer              1          enabled 
tacacs                 1          disabled
telemetry              1          disabled
telnetServer           1          disabled
tun_enc_mgr            1          disabled
tunnel                 1          disabled
udld                   1          disabled
vmfex                  1          disabled
vmtracker              1          disabled
vni                    1          disabled
vnseg_vlan             1          disabled
vpc                    1          enabled 
vrrp                   1          disabled
vrrpv3                 1          disabled
vtp                    1          disabled
nxos3# 
+++ nxos3 with via 'cli': executing command 'show ip ospf vrf all' +++
show ip ospf vrf all

 Routing Process 1 with ID 1.1.1.4 VRF default
 Routing Process Instance Number 1
 Stateful High Availability enabled
 Graceful-restart is configured
   Grace period: 60 state: Inactive 
   Last graceful restart exit status: None
 Supports only single TOS(TOS0) routes
 Supports opaque LSA
 Administrative distance 110
 Reference Bandwidth is 40000 Mbps
 SPF throttling delay time of 200.000 msecs,
   SPF throttling hold time of 1000.000 msecs, 
   SPF throttling maximum wait time of 5000.000 msecs
 LSA throttling start time of 0.000 msecs,
   LSA throttling hold interval of 5000.000 msecs, 
   LSA throttling maximum wait time of 5000.000 msecs
 Minimum LSA arrival 1000.000 msec
 LSA group pacing timer 10 secs
 Maximum paths to destination 8
 Number of external LSAs 0, checksum sum 0
 Number of opaque AS LSAs 0, checksum sum 0
 Number of areas is 1, 1 normal, 0 stub, 0 nssa
 Number of active areas is 1, 1 normal, 0 stub, 0 nssa
 Install discard route for summarized external routes.
 Install discard route for summarized internal routes.
 Default Passive Interface is enabled
 Number of new LSAs originated : 4
 Number of new LSAs received : 9
   Area BACKBONE(0.0.0.0) 
        Area has existed for 00:33:58
        Interfaces in this area: 5 Active interfaces: 5
        Passive interfaces: 2  Loopback interfaces: 1
        No authentication available
        SPF calculation has run 10 times
         Last SPF ran for 0.000574s
        Area ranges are
        Number of LSAs: 3, checksum sum 0x174d8
nxos3# 
+++ nxos3 with via 'cli': executing command 'show ip ospf mpls ldp interface vrf all' +++
show ip ospf mpls ldp interface vrf all
loopback0 - Process ID 1 VRF default, area 0.0.0.0
    LDP Autoconfig not enabled
    LDP Sync not enabled, not required
    State LOOPBACK, Network type LOOPBACK
Vlan10 - Process ID 1 VRF default, area 0.0.0.0
    LDP Autoconfig not enabled
    LDP Sync not enabled, not required
    State DR, Network type BROADCAST
Vlan20 - Process ID 1 VRF default, area 0.0.0.0
    LDP Autoconfig not enabled
    LDP Sync not enabled, not required
    State DR, Network type BROADCAST
Ethernet1/11 - Process ID 1 VRF default, area 0.0.0.0
    LDP Autoconfig not enabled
    LDP Sync not enabled, not required
    State P2P, Network type P2P
Ethernet1/10 - Process ID 1 VRF default, area 0.0.0.0
    LDP Autoconfig not enabled
    LDP Sync not enabled, not required
    State P2P, Network type P2P
nxos3# 
+++ nxos3 with via 'cli': executing command 'show ip ospf database router detail vrf all' +++
show ip ospf database router detail vrf all
        OSPF Router with ID (1.1.1.4) (Process ID 1 VRF default)

                Router Link States (Area 0.0.0.0)

   LS age: 59
   Options: 0x2 (No TOS-capability, No DC)
   LS Type: Router Links
   Link State ID: 1.1.1.2 
   Advertising Router: 1.1.1.2
   LS Seq Number: 0x80000007
   Checksum: 0x1902
   Length: 72
    Number of links: 4

     Link connected to: a Stub Network
      (Link ID) Network/Subnet Number: 1.1.1.2
      (Link Data) Network Mask: 255.255.255.255
       Number of TOS metrics: 0
         TOS   0 Metric: 1

     Link connected to: a Stub Network
      (Link ID) Network/Subnet Number: 192.168.0.0
      (Link Data) Network Mask: 255.255.255.0
       Number of TOS metrics: 0
         TOS   0 Metric: 40

     Link connected to: a Router (point-to-point)
     (Link ID) Neighboring Router ID: 1.1.1.4
     (Link Data) Router Interface address: 0.0.0.3
       Number of TOS metrics: 0
         TOS   0 Metric: 40

     Link connected to: a Router (point-to-point)
     (Link ID) Neighboring Router ID: 1.1.1.3
     (Link Data) Router Interface address: 0.0.0.4
       Number of TOS metrics: 0
         TOS   0 Metric: 40

   LS age: 98
   Options: 0x2 (No TOS-capability, No DC)
   LS Type: Router Links
   Link State ID: 1.1.1.3 
   Advertising Router: 1.1.1.3
   LS Seq Number: 0x80000005
   Checksum: 0xb1e9
   Length: 72
    Number of links: 4

     Link connected to: a Stub Network
      (Link ID) Network/Subnet Number: 1.1.1.3
      (Link Data) Network Mask: 255.255.255.255
       Number of TOS metrics: 0
         TOS   0 Metric: 1

     Link connected to: a Stub Network
      (Link ID) Network/Subnet Number: 192.168.10.0
      (Link Data) Network Mask: 255.255.255.0
       Number of TOS metrics: 0
         TOS   0 Metric: 40

     Link connected to: a Stub Network
      (Link ID) Network/Subnet Number: 192.168.20.0
      (Link Data) Network Mask: 255.255.255.0
       Number of TOS metrics: 0
         TOS   0 Metric: 40

     Link connected to: a Router (point-to-point)
     (Link ID) Neighboring Router ID: 1.1.1.2
     (Link Data) Router Interface address: 0.0.0.4
       Number of TOS metrics: 0
         TOS   0 Metric: 40

   LS age: 68
   Options: 0x2 (No TOS-capability, No DC)
   LS Type: Router Links
   Link State ID: 1.1.1.4 
   Advertising Router: 1.1.1.4
   LS Seq Number: 0x80000006
   Checksum: 0xa9ed
   Length: 72
    Number of links: 4

     Link connected to: a Stub Network
      (Link ID) Network/Subnet Number: 1.1.1.4
      (Link Data) Network Mask: 255.255.255.255
       Number of TOS metrics: 0
         TOS   0 Metric: 1

     Link connected to: a Stub Network
      (Link ID) Network/Subnet Number: 192.168.10.0
      (Link Data) Network Mask: 255.255.255.0
       Number of TOS metrics: 0
         TOS   0 Metric: 40

     Link connected to: a Stub Network
      (Link ID) Network/Subnet Number: 192.168.20.0
      (Link Data) Network Mask: 255.255.255.0
       Number of TOS metrics: 0
         TOS   0 Metric: 40

     Link connected to: a Router (point-to-point)
     (Link ID) Neighboring Router ID: 1.1.1.2
     (Link Data) Router Interface address: 0.0.0.4
       Number of TOS metrics: 0
         TOS   0 Metric: 40


nxos3# 
+++ nxos3 with via 'cli': executing command 'show ip ospf database network detail vrf all' +++
show ip ospf database network detail vrf all
        OSPF Router with ID (1.1.1.4) (Process ID 1 VRF default)

nxos3# 
+++ nxos3 with via 'cli': executing command 'show ip ospf database summary detail vrf all' +++
show ip ospf database summary detail vrf all
        OSPF Router with ID (1.1.1.4) (Process ID 1 VRF default)

nxos3# 
+++ nxos3 with via 'cli': executing command 'show ip ospf database external detail vrf all' +++
show ip ospf database external detail vrf all
        OSPF Router with ID (1.1.1.4) (Process ID 1 VRF default)

nxos3# 
+++ nxos3 with via 'cli': executing command 'show ip ospf database opaque-area detail vrf all' +++
show ip ospf database opaque-area detail vrf all
        OSPF Router with ID (1.1.1.4) (Process ID 1 VRF default)

nxos3# 
+++ nxos3 with via 'cli': executing command 'show ip ospf virtual-links vrf all' +++
show ip ospf virtual-links vrf all
nxos3# 
+++ nxos3 with via 'cli': executing command 'show ip ospf interface vrf all' +++
show ip ospf interface vrf all
 Vlan20 is up, line protocol is up
    IP address 192.168.20.4/24
    Process ID 1 VRF default, area 0.0.0.0
    Enabled by interface configuration
    State DR, Network type BROADCAST, cost 40
    Index 3, Passive interface
 Vlan10 is up, line protocol is up
    IP address 192.168.10.4/24
    Process ID 1 VRF default, area 0.0.0.0
    Enabled by interface configuration
    State DR, Network type BROADCAST, cost 40
    Index 2, Passive interface
 loopback0 is up, line protocol is up
    IP address 1.1.1.4/32
    Process ID 1 VRF default, area 0.0.0.0
    Enabled by interface configuration
    State LOOPBACK, Network type LOOPBACK, cost 1
    Index 1
 Ethernet1/10 is up, line protocol is up
    Unnumbered interface using IP address of loopback0 (1.1.1.4)
    Process ID 1 VRF default, area 0.0.0.0
    Enabled by interface configuration
    State P2P, Network type P2P, cost 40
    Index 5, Transmit delay 1 sec
    0 Neighbors, flooding to 0, adjacent with 0
    Timer intervals: Hello 10, Dead 40, Wait 40, Retransmit 5
      Hello timer due in 00:00:07
    No authentication
    Number of opaque link LSAs: 0, checksum sum 0
    Interface ospf state change count: 1
 Ethernet1/11 is up, line protocol is up
    Unnumbered interface using IP address of loopback0 (1.1.1.4)
    Process ID 1 VRF default, area 0.0.0.0
    Enabled by interface configuration
    State P2P, Network type P2P, cost 40
    Index 4, Transmit delay 1 sec
    1 Neighbors, flooding to 1, adjacent with 1
    Timer intervals: Hello 10, Dead 40, Wait 40, Retransmit 5
      Hello timer due in 00:00:00
    No authentication
    Number of opaque link LSAs: 0, checksum sum 0
    Interface ospf state change count: 1
nxos3# 
+++ nxos3 with via 'cli': executing command 'show ip ospf neighbors detail vrf all' +++
show ip ospf neighbors detail vrf all
 Neighbor 1.1.1.2, interface address 1.1.1.2
    Process ID 1 VRF default, in area 0.0.0.0 via interface Ethernet1/11
    State is FULL, 4 state changes, last change 00:32:18
    Hello options 0x2, dbd options 0x42
    Last non-hello packet received 00:01:00
      Dead timer due in 00:00:31

nxos3# 
+++ nxos3 with via 'cli': executing command 'show ip ospf sham-links vrf all' +++
show ip ospf sham-links vrf all
                     ^
% Invalid command at '^' marker.
nxos3# 
Could not learn <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfShamLinks'>
Invalid command has been executed
+====================================================================================================================================================+
| Commands for learning feature 'Ospf'                                                                                                               |
+====================================================================================================================================================+
| - Parsed commands                                                                                                                                  |
|----------------------------------------------------------------------------------------------------------------------------------------------------|
|   cmd: <class 'genie.libs.parser.nxos.show_feature.ShowFeature'>                                                                                   |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspf'>, arguments: {'vrf':'all'}                                                             |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfMplsLdpInterface'>, arguments: {'interface':'','vrf':'all'}                              |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfDatabaseRouterDetail'>, arguments: {'vrf':'all'}                                         |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfDatabaseNetworkDetail'>, arguments: {'vrf':'all'}                                        |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfDatabaseSummaryDetail'>, arguments: {'vrf':'all'}                                        |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfDatabaseExternalDetail'>, arguments: {'vrf':'all'}                                       |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfDatabaseOpaqueAreaDetail'>, arguments: {'vrf':'all'}                                     |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfInterface'>, arguments: {'interface':'','vrf':'all'}                                     |
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfNeighborDetail'>, arguments: {'neighbor':'','vrf':'all'}                                 |
|====================================================================================================================================================|
| - Commands not accepted on the device                                                                                                              |
|----------------------------------------------------------------------------------------------------------------------------------------------------|
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfShamLinks'>, arguments: {'vrf':'all'}                                                    |
|====================================================================================================================================================|
| - Commands with empty output                                                                                                                       |
|----------------------------------------------------------------------------------------------------------------------------------------------------|
|   cmd: <class 'genie.libs.parser.nxos.show_ospf.ShowIpOspfVirtualLinks'>, arguments: {'vrf':'all'}                                                 |
|====================================================================================================================================================|
